Geneid	protein_id	product	ctrl4	ctrl5	ctrl6	IP1	IP2	IP3
SAOUHSC_00690	ABD29823.1	conserved hypothetical protein	4665	4124	2801	20828	21464	3327
SAOUHSC_00691	ABD29824.1	undecaprenol kinase%2C putative	2612	2109	1999	3637	6278	1257
SAOUHSC_00692	ABD29825.1	conserved hypothetical protein	6268	4529	4241	6945	8436	1543
SAOUHSC_00693	ABD29826.1	conserved hypothetical protein	8658	6955	6077	9551	9858	1008
SAOUHSC_00694	ABD29827.1	conserved hypothetical protein	77410	80105	64041	82058	75802	10087
SAOUHSC_00695	ABD29828.1	conserved hypothetical protein	1560	1166	994	1853	1430	276
SAOUHSC_00696	ABD29829.1	conserved hypothetical protein	3124	2288	2212	3376	4732	662
SAOUHSC_00697	ABD29830.1	conserved hypothetical protein	396	192	382	489	570	49
SAOUHSC_00698	ABD29831.1	conserved hypothetical protein	3633	2581	2932	2738	3391	725
SAOUHSC_00699	ABD29832.1	deoxyribodipyrimidine photolyase%2C putative	7567	5931	6467	6986	9889	1912
SAOUHSC_00700	ABD29833.1	conserved hypothetical protein	1045	696	747	1038	993	106
SAOUHSC_00701	ABD29834.1	conserved hypothetical protein	788	569	902	1144	1743	181
SAOUHSC_00702	ABD29835.1	conserved hypothetical protein	927	780	740	1047	915	72
SAOUHSC_00703	ABD29836.1	quinolone resistance norA protein%2C putative	2294	1955	1997	2123	2598	416
SAOUHSC_00704	ABD29837.1	conserved hypothetical protein	635	463	700	1169	1465	91
SAOUHSC_00705	ABD29838.1	conserved hypothetical protein	545	372	439	441	939	99
SAOUHSC_00706	ABD29839.1	conserved hypothetical protein	8698	6461	6294	2821	5909	820
SAOUHSC_00707	ABD29840.1	fructose 1-phosphate kinase%2C putative	11795	10539	8449	4354	14973	6571
SAOUHSC_00708	ABD29841.1	fructose specific permease%2C putative	47920	40126	33501	29903	67006	18172
SAOUHSC_00709	ABD29842.1	hypothetical protein	742	397	474	556	303	50
SAOUHSC_00710	ABD29843.1	N-acetylglucosamine-6-phosphate deacetylase	1497	1029	838	1492	1927	379
SAOUHSC_00711	ABD29844.1	conserved hypothetical protein	5598	4639	3551	16382	17472	1656
SAOUHSC_00712	ABD29845.1	conserved hypothetical protein	729	629	371	3483	5064	1336
SAOUHSC_00713	ABD29846.1	conserved hypothetical protein	2351	1998	1523	9969	10849	1800
SAOUHSC_00714	ABD29847.1	sensor histidine kinase SaeS%2C putative	48420	33913	27478	35657	40496	1775
SAOUHSC_00715	ABD29848.1	response regulator%2C putative	31053	22214	17657	27742	31467	1844
SAOUHSC_00716	ABD29849.1	conserved hypothetical protein	16177	11327	9251	18542	15714	1009
SAOUHSC_00717	ABD29850.1	conserved hypothetical protein	24767	16837	13048	24272	23690	476
SAOUHSC_00718	ABD29851.1	conserved hypothetical protein	2273	1222	2438	1418	1503	208
SAOUHSC_00719	ABD29852.1	conserved hypothetical protein	8527	6525	7689	3200	4507	1284
SAOUHSC_00720	ABD29853.1	6-pyruvoyl tetrahydropterin synthase superfamily%2C putative	3121	2584	2858	1244	1925	140
SAOUHSC_00721	ABD29854.1	conserved hypothetical protein	3400	2624	3292	1109	1916	145
SAOUHSC_00722	ABD29855.1	para-aminobenzoate synthase%2C glutamine amidotransferase%2C component II%2C putative	430	324	340	286	260	63
SAOUHSC_00723	ABD29856.1	conserved hypothetical protein	1223	824	940	747	1002	262
SAOUHSC_00724	ABD29857.1	chorismate binding enzyme%2C putative	834	632	700	614	914	98
SAOUHSC_00725	ABD29858.1	conserved hypothetical protein	372	301	373	559	562	26
SAOUHSC_00726	ABD29859.1	conserved hypothetical protein	1866	1378	1576	2079	2769	248
SAOUHSC_00727	ABD29860.1	conserved hypothetical protein	3309	2494	2816	3281	3902	807
SAOUHSC_00728	ABD29861.1	conserved hypothetical protein	252054	170462	213768	75353	61564	6221
SAOUHSC_A00703	ABD32047.1	hypothetical protein	17	11	21	20	26	0
SAOUHSC_00729	ABD29862.1	ABC transporter%2C ATP-binding protein	18227	12092	13779	9759	14135	2331
SAOUHSC_00730	ABD29863.1	ATP-dependent DNA helicase RecQ	32573	19982	25404	14404	21477	2178
SAOUHSC_00731	ABD29864.1	ABC transporter domain protein	2007	1877	1140	5287	7345	2807
SAOUHSC_00732	ABD29865.1	amino acid ABC transporter%2C permease protein%2C putative	5504	4104	3310	8800	11524	1621
SAOUHSC_00733	ABD29866.1	histidinol-phosphate aminotransferase	1002	877	699	6500	8462	1052
SAOUHSC_00734	ABD29867.1	conserved hypothetical protein	2625	1942	1823	5819	7025	574
SAOUHSC_00735	ABD29868.1	conserved hypothetical protein	356	244	246	706	1076	223
SAOUHSC_00736	ABD29869.1	conserved hypothetical protein	10013	10552	6631	19398	18136	3411
SAOUHSC_00737	ABD29870.1	hypothetical protein	12	11	12	26	39	7
SAOUHSC_00738	ABD29871.1	conserved hypothetical protein	6938	6507	4253	40726	41845	9085
SAOUHSC_00739	ABD29872.1	conserved hypothetical protein	2540	2029	2145	1547	1974	505
SAOUHSC_00740	ABD29873.1	conserved hypothetical protein	3487	2716	2874	2494	3318	186
SAOUHSC_00741	ABD29874.1	ribonucleoside-diphosphate reductase 2%2C putative	3940	2849	2632	10523	12982	1783
SAOUHSC_00742	ABD29875.1	ribonucleotide-diphosphate reductase alpha chain%2C putative	37650	25853	23957	92879	110398	12660
SAOUHSC_00743	ABD29876.1	ribonucleotide-disphosphate reductase beta chain%2C putative	18466	12833	11853	51884	59168	5625
SAOUHSC_00744	ABD29877.1	conserved hypothetical protein	385	172	207	88	57	52
SAOUHSC_00745	ABD29878.1	conserved hypothetical protein	15	4	11	4	6	4
SAOUHSC_00746	ABD29879.1	conserved hypothetical protein	1149	983	790	653	740	89
SAOUHSC_00747	ABD29880.1	conserved hypothetical protein	828	621	702	392	471	14
SAOUHSC_00748	ABD29881.1	conserved hypothetical protein	752	561	548	184	201	17
SAOUHSC_00749	ABD29882.1	conserved hypothetical protein	1637	1247	1245	593	872	93
SAOUHSC_00751	ABD29883.1	conserved hypothetical protein	1299	1027	969	1486	1706	188
SAOUHSC_00752	ABD29884.1	UDP-N-acetylenolpyruvoylglucosamine reductase%2C putative	2121	1470	1368	2430	2382	561
SAOUHSC_00753	ABD29885.1	conserved hypothetical protein	342	279	239	681	797	34
SAOUHSC_00754	ABD29886.1	conserved hypothetical protein	1881	1135	1393	1312	1684	100
SAOUHSC_00755	ABD29887.1	conserved hypothetical protein	9297	8239	6616	4212	4803	327
SAOUHSC_00756	ABD29888.1	conserved hypothetical protein	4795	4664	3419	3802	4851	1392
SAOUHSC_00757	ABD29889.1	peptidase T%2C putative	10185	6934	7088	6900	8200	2118
SAOUHSC_00758	ABD29890.1	conserved hypothetical protein	725	514	479	643	810	135
SAOUHSC_00759	ABD29891.1	conserved hypothetical protein	861	611	582	784	830	142
SAOUHSC_00760	ABD29892.1	conserved hypothetical protein	26168	20015	27110	4625	4260	331
SAOUHSC_00762	ABD29893.1	conserved hypothetical protein	2913	2079	2317	4066	5960	665
SAOUHSC_00763	ABD29894.1	conserved hypothetical protein	2456	1784	1353	3033	3255	958
SAOUHSC_00764	ABD29895.1	conserved hypothetical protein	5112	3432	3855	3961	2522	336
SAOUHSC_00765	ABD29896.1	conserved hypothetical protein	791	728	719	264	219	10
SAOUHSC_00766	ABD29897.1	conserved hypothetical protein	762	555	568	369	452	67
SAOUHSC_00767	ABD29898.1	conserved hypothetical protein	20470	17515	10749	51050	68782	7091
SAOUHSC_00769	ABD29899.1	preprotein translocase%2C SecA subunit	42036	32380	25727	44184	54896	14878
SAOUHSC_00770	ABD29900.1	conserved hypothetical protein	87	63	82	102	126	44
SAOUHSC_00771	ABD29901.1	peptide chain release factor 2%2C putative	4046	2772	2956	4312	6816	2162
SAOUHSC_00772	ABD29902.1	conserved hypothetical protein	23	11	20	16	17	4
SAOUHSC_00773	ABD29903.1	LysM domain protein	1477	1106	1152	495	690	59
SAOUHSC_00774	ABD29904.1	conserved hypothetical protein	633	306	383	1910	2964	147
SAOUHSC_00775	ABD29905.1	conserved hypothetical protein	224	106	119	527	607	23
SAOUHSC_00776	ABD29906.1	excinuclease ABC%2C B subunit	5953	4294	4406	2431	2583	460
SAOUHSC_00778	ABD29907.1	conserved hypothetical protein	0	0	0	0	0	0
SAOUHSC_A00747	ABD32048.1	conserved hypothetical protein	0	0	0	0	0	0
SAOUHSC_00779	ABD29908.1	excinuclease ABC subunit B%2C putative	7943	5628	5987	3535	3822	551
SAOUHSC_00780	ABD29909.1	excinuclease ABC%2C A subunit	35449	25828	29223	16016	15643	5590
SAOUHSC_00781	ABD29910.1	HPr(Ser) kinase/phosphatase	2184	2046	1247	6375	9551	1598
SAOUHSC_00782	ABD29911.1	prolipoprotein diacylglyceryl transferase	789	749	486	2825	4645	920
SAOUHSC_00783	ABD29912.1	conserved hypothetical protein	569	489	363	1648	2596	330
SAOUHSC_00784	ABD29913.1	conserved hypothetical protein	2538	2002	1623	4980	5888	400
SAOUHSC_00785	ABD29914.1	thioredoxin reductase	9235	7491	4181	15583	20815	7298
SAOUHSC_00786	ABD29915.1	conserved hypothetical protein	1509	1413	826	2143	2176	1469
SAOUHSC_00787	ABD29916.1	conserved hypothetical protein	3512	3495	2214	5168	8651	880
SAOUHSC_00788	ABD29917.1	conserved hypothetical protein	11297	12422	7231	26993	35569	16603
SAOUHSC_00789	ABD29918.1	conserved hypothetical protein	16657	16011	10709	27958	38990	8152
SAOUHSC_T0005	NA	NA	166	176	111	385	532	77
SAOUHSC_00790	ABD29919.1	ATP-dependent Clp protease%2C proteolytic subunit ClpP	19174	15235	11461	16079	13389	1579
SAOUHSC_00792	ABD29920.1	conserved hypothetical protein	3515	3416	2461	15044	15984	4436
SAOUHSC_00793	ABD29921.1	conserved hypothetical protein	6315	6802	4690	24526	44754	15537
SAOUHSC_00794	ABD29922.1	glycolytic operon regulator	38821	30586	24713	101899	74489	33455
SAOUHSC_00795	ABD29923.1	glyceraldehyde-3-phosphate dehydrogenase%2C type I	58028	47891	34787	300993	267062	93871
SAOUHSC_00796	ABD29924.1	phosphoglycerate kinase%2C putative	14556	10670	8530	85494	81048	21419
SAOUHSC_00797	ABD29925.1	triosephosphate isomerase	14437	11782	9145	79133	89932	22622
SAOUHSC_00798	ABD29926.1	phosphoglycerate mutase%2C 2%2C3-bisphosphoglycerate-independent	29029	22350	17653	147139	154437	86821
SAOUHSC_00799	ABD29927.1	enolase	39946	31368	21653	153937	148900	104091
SAOUHSC_00800	ABD29928.1	conserved hypothetical protein	3642	2707	3237	5197	5053	155
SAOUHSC_00801	ABD29929.1	preprotein translocase%2C SecG subunit	9404	8990	7148	8351	13540	5818
SAOUHSC_00802	ABD29930.1	carboxylesterase precursor%2C putative	16299	17053	14723	9169	12632	1993
SAOUHSC_00803	ABD29931.1	ribonuclease R%2C putative	71510	74542	62885	49281	56371	11358
SAOUHSC_00804	ABD29932.1	SsrA-binding protein	15659	15599	13467	10736	14458	3402
SAOUHSC_00805	ABD29933.1	conserved hypothetical protein	218	152	170	185	184	13
SAOUHSC_00806	ABD29934.1	conserved hypothetical protein	1248	731	1310	332	536	46
SAOUHSC_00807	ABD29935.1	conserved hypothetical protein	887	503	655	213	245	51
SAOUHSC_00808	ABD29936.1	conserved hypothetical protein	2156	1340	1832	865	947	85
SAOUHSC_00809	ABD29937.1	conserved hypothetical protein	11	10	7	6	3	1
SAOUHSC_00810	ABD29938.1	conserved hypothetical protein	189	220	166	507	913	135
SAOUHSC_00811	ABD29939.1	conserved hypothetical protein	850	781	691	1590	2944	492
SAOUHSC_00812	ABD29940.1	clumping factor	115746	118126	74173	122982	112338	130685
SAOUHSC_00813	ABD29941.1	truncated secreted von Willebrand factor-binding protein	149	131	109	170	75	20
SAOUHSC_00814	ABD29942.1	truncated secreted von Willebrand factor-binding protein (coagulase) VWbp%2C putative	2867	1849	1889	2404	881	111
SAOUHSC_00816	ABD29943.1	extracellular matrix and plasma binding protein%2C putative	1079	791	752	2066	1726	180
SAOUHSC_00817	ABD29944.1	conserved hypothetical protein	580	475	300	994	882	259
SAOUHSC_00818	ABD29945.1	thermonuclease precursor	372	213	304	79	81	6
SAOUHSC_00819	ABD29946.1	conserved hypothetical protein	52982	38287	33128	91542	61427	14246
SAOUHSC_00820	ABD29947.1	conserved hypothetical protein	1869	1644	1406	3087	2732	276
SAOUHSC_00821	ABD29948.1	conserved hypothetical protein	974	974	739	1840	1672	206
SAOUHSC_00822	ABD29949.1	conserved hypothetical protein	593	544	421	974	1223	319
SAOUHSC_00823	ABD29950.1	conserved hypothetical protein	1039	792	997	2301	1963	227
SAOUHSC_00824	ABD29951.1	conserved hypothetical protein	995	752	825	2095	2745	316
SAOUHSC_00825	ABD29952.1	conserved hypothetical protein	11153	14044	8469	34740	56336	2818
SAOUHSC_00826	ABD29953.1	conserved hypothetical protein	3420	3536	2491	11324	12902	646
SAOUHSC_00827	ABD29954.1	conserved hypothetical protein	7180	5444	6496	1671	1401	456
SAOUHSC_00828	ABD29955.1	conserved hypothetical protein	1785	1375	1406	6136	5595	539
SAOUHSC_00830	ABD29956.1	conserved hypothetical protein	8499	6956	6866	7174	6329	464
SAOUHSC_00831	ABD29957.1	conserved hypothetical protein	2624	2943	1820	6430	7519	3527
SAOUHSC_00832	ABD29958.1	3-dehydroquinate dehydratase%2C type I	1027	811	747	656	695	43
SAOUHSC_00833	ABD29959.1	conserved hypothetical protein	8774	6957	5891	4353	6563	1393
SAOUHSC_00834	ABD29960.1	thioredoxin%2C putative	1737	1322	798	2733	2252	843
SAOUHSC_00835	ABD29961.1	conserved hypothetical protein	539	400	281	3173	5475	129
SAOUHSC_00836	ABD29962.1	glycine cleavage system H protein	4367	3617	2711	11967	16617	1044
SAOUHSC_00837	ABD29963.1	conserved hypothetical protein	55	56	65	78	152	7
SAOUHSC_00838	ABD29964.1	conserved hypothetical protein	1777	1711	1296	1312	1249	129
SAOUHSC_00839	ABD29965.1	conserved hypothetical protein	240	208	174	184	203	61
SAOUHSC_00840	ABD29966.1	conserved hypothetical protein	1155	1122	833	1658	1462	228
SAOUHSC_00841	ABD29967.1	conserved hypothetical protein	564	615	510	1075	1214	157
SAOUHSC_00842	ABD29968.1	ABC transporter%2C ATP-binding protein%2C putative	13683	10614	13206	30854	54293	11158
SAOUHSC_00843	ABD29969.1	conserved hypothetical protein	7323	5739	6695	10934	20506	3897
SAOUHSC_00844	ABD29970.1	conserved hypothetical protein	15595	11173	15853	16715	37196	3099
SAOUHSC_00845	ABD29971.1	conserved hypothetical protein	69354	54971	36983	122873	130021	5858
SAOUHSC_00846	ABD29972.1	conserved hypothetical protein	28400	30693	22122	15655	17750	5028
SAOUHSC_00847	ABD29973.1	ABC transporter%2C ATP-binding protein%2C putative	55197	57156	42768	26798	26421	6108
SAOUHSC_00848	ABD29974.1	conserved hypothetical protein	105951	98967	79697	44233	37153	8516
SAOUHSC_00849	ABD29975.1	aminotransferase%2C class V superfamily%2C putative	117569	109869	89983	45495	47230	19335
SAOUHSC_00850	ABD29976.1	conserved hypothetical protein	51937	50034	41121	18455	21091	7115
SAOUHSC_00851	ABD29977.1	conserved hypothetical protein	129714	113163	97916	49946	61920	9548
SAOUHSC_00852	ABD29978.1	conserved hypothetical protein	118	81	129	221	340	16
SAOUHSC_00853	ABD29979.1	conserved hypothetical protein	148	110	139	305	202	18
SAOUHSC_00854	ABD29980.1	conserved hypothetical protein	2135	1794	1343	6133	7007	1408
SAOUHSC_00855	ABD29981.1	conserved hypothetical protein	1388	1182	860	3180	4149	2372
SAOUHSC_00857	ABD29982.1	conserved hypothetical protein	88	68	57	50	87	47
SAOUHSC_00858	ABD29983.1	conserved hypothetical protein	1162	895	625	1502	1754	131
SAOUHSC_00859	ABD29984.1	conserved hypothetical protein	747	517	464	995	1121	237
SAOUHSC_00860	ABD29985.1	5-nucleotidase family protein	2064	1613	1180	2694	3298	378
SAOUHSC_00861	ABD29986.1	lipoic acid synthetase	10382	9756	7164	17635	19017	4089
SAOUHSC_00862	ABD29987.1	conserved hypothetical protein	745	666	494	1373	1393	144
SAOUHSC_00863	ABD29988.1	conserved hypothetical protein	940	724	611	897	1035	49
SAOUHSC_00864	ABD29989.1	conserved hypothetical protein	430	373	306	944	1100	50
SAOUHSC_00865	ABD29990.1	conserved hypothetical protein	1094	814	752	2007	2049	340
SAOUHSC_00866	ABD29991.1	D-isomer specific 2-hydroxyacid dehydrogenase%2C NAD binding domain protein	2195	1750	1444	2941	3510	646
SAOUHSC_00867	ABD29992.1	conserved hypothetical protein	1	1	2	1	4	1
SAOUHSC_00868	ABD29993.1	conserved hypothetical protein	358	351	435	2263	8209	189
SAOUHSC_00869	ABD29994.1	D-alanine-activating enzyme	12736	11238	8993	35705	53975	3372
SAOUHSC_00870	ABD29995.1	dltB protein%2C putative	7314	5857	5800	14820	14813	651
SAOUHSC_00871	ABD29996.1	D-alanyl carrier protein	1698	1323	1672	3091	5523	179
SAOUHSC_00872	ABD29997.1	extramembranal protein	12484	9655	9125	18417	19902	1039
SAOUHSC_00873	ABD29998.1	conserved hypothetical protein	7074	4439	4507	6275	5424	989
SAOUHSC_00874	ABD29999.1	conserved hypothetical protein	1167	614	902	472	498	56
SAOUHSC_00875	ABD30000.1	conserved hypothetical protein	11302	8841	7354	9108	8588	3375
SAOUHSC_00876	ABD30001.1	conserved hypothetical protein	1286	918	628	1948	3016	465
SAOUHSC_00877	ABD30002.1	conserved hypothetical protein	1849	1453	918	2981	3129	806
SAOUHSC_00878	ABD30003.1	conserved hypothetical protein	17531	13461	10760	25361	27203	6334
SAOUHSC_00879	ABD30004.1	probable cytosol aminopeptidase	2241	1648	1151	2665	3687	486
SAOUHSC_00880	ABD30005.1	conserved hypothetical protein	7956	6867	5331	9955	6424	1070
SAOUHSC_00881	ABD30006.1	conserved hypothetical protein	4855	4099	3194	4569	4755	767
SAOUHSC_00882	ABD30007.1	conserved hypothetical protein	8364	4418	3584	341	474	67
SAOUHSC_00883	ABD30008.1	monovalent cation/proton antiporter%2C MnhG/PhaG subunit subfamily%2C putative	2495	1634	1705	3710	4517	457
SAOUHSC_00884	ABD30009.1	Multiple resistance and pH regulation protein F (MrpF / PhaF) family%2C putative	831	693	541	1433	1444	743
SAOUHSC_00885	ABD30010.1	conserved hypothetical protein	3023	2533	2422	5471	9280	811
SAOUHSC_00886	ABD30011.1	Na+/H+ antiporter%2C MnhD component%2C putative	7681	6567	5281	13756	16283	2412
SAOUHSC_00887	ABD30012.1	Na+/H+ antiporter subunit%2C putative	1814	1557	1209	3448	5223	507
SAOUHSC_00888	ABD30013.1	monovalent cation:proton antiporter subfamily%2C putative	1797	1473	1240	3767	4481	501
SAOUHSC_00889	ABD30014.1	Na+/H+ antiporter subunit%2C putative	9420	7998	5902	21966	28530	4098
SAOUHSC_00890	ABD30015.1	conserved hypothetical protein	392	227	239	502	590	52
SAOUHSC_00891	ABD30016.1	peptidyl-prolyl cis-trans isomerase%2C cyclophilin-type%2C putative	4565	3301	2619	5100	5278	2591
SAOUHSC_00892	ABD30017.1	conserved hypothetical protein	5854	5366	3668	6989	8769	2171
SAOUHSC_00893	ABD30018.1	FMN oxidoreductase%2C putative	1663	1253	800	3290	5626	1770
SAOUHSC_00894	ABD30019.1	ornithine aminotransferase%2C putative	5378	5790	2936	15212	19479	2739
SAOUHSC_00895	ABD30020.1	glutamate dehydrogenase%2C NAD-specific%2C putative	17472	17173	10864	24337	31573	7505
SAOUHSC_00896	ABD30021.1	conserved hypothetical protein	2004	1807	1065	858	868	919
SAOUHSC_00897	ABD30022.1	conserved hypothetical protein	1287	986	1080	1188	1529	187
SAOUHSC_00898	ABD30023.1	argininosuccinate lyase	33519	30242	43941	1904	8013	631
SAOUHSC_00899	ABD30024.1	argininosuccinate synthase	17020	15221	21890	1254	7235	1333
SAOUHSC_00900	ABD30025.1	glucose-6-phosphate isomerase	9900	7080	5537	21618	21581	3188
SAOUHSC_00901	ABD30026.1	conserved hypothetical protein	2664	1977	2103	4208	7130	401
SAOUHSC_00902	ABD30027.1	Signal peptidase IA%2C putative	2624	2271	2046	3798	5752	1136
SAOUHSC_00903	ABD30028.1	Signal peptidase IB%2C putative	2938	2530	1836	2828	3677	273
SAOUHSC_00904	ABD30029.1	exonuclease RexB%2C putative	6828	5673	4791	6367	7723	905
SAOUHSC_00905	ABD30030.1	ATP-dependent nuclease subunit A%2C putative	13186	10662	9850	10920	13008	2385
SAOUHSC_00906	ABD30031.1	conserved hypothetical protein	9450	7646	5766	20087	25582	7521
SAOUHSC_00907	ABD30032.1	conserved hypothetical protein	1541	1079	1012	1554	1656	503
SAOUHSC_00908	ABD30033.1	coenzyme A disulfide reductase%2C putative	6576	5856	3841	11909	13402	4822
SAOUHSC_00909	ABD30034.1	conserved hypothetical protein	3239	2643	2074	4124	4548	778
SAOUHSC_00910	ABD30035.1	conserved hypothetical protein	2923	3098	1926	5827	7456	915
SAOUHSC_00911	ABD30036.1	conserved hypothetical protein	2957	1709	1907	580	550	38
SAOUHSC_00912	ABD30037.1	ATP-dependent Clp protease%2C ATP-binding subunit ClpB	370983	361532	242779	59158	19004	1754
SAOUHSC_00913	ABD30038.1	conserved hypothetical protein	478	589	498	92	65	2
SAOUHSC_00914	ABD30039.1	2-isopropylmalate synthase%2C putative	639	896	629	63	47	4
SAOUHSC_00915	ABD30040.1	conserved hypothetical protein	312	448	388	75	84	10
SAOUHSC_00916	ABD30041.1	conserved hypothetical protein	231	225	229	145	130	14
SAOUHSC_00917	ABD30042.1	conserved hypothetical protein	259	316	199	187	216	25
SAOUHSC_00918	ABD30043.1	truncated MHC class II analog protein	2082	1662	1760	735	676	474
SAOUHSC_00919	ABD30044.1	conserved hypothetical protein	1677	1348	1033	3829	2771	123
SAOUHSC_00920	ABD30045.1	conserved hypothetical protein	2069	1641	1596	4096	7695	3228
SAOUHSC_00921	ABD30046.1	3-oxoacyl- synthase%2C putative	8508	6824	6039	17900	27812	16679
SAOUHSC_00922	ABD30047.1	conserved hypothetical protein	91	51	48	302	262	14
SAOUHSC_00923	ABD30048.1	conserved hypothetical protein	564	439	416	5235	4855	470
SAOUHSC_00924	ABD30049.1	conserved hypothetical protein	774	641	609	4839	5576	1100
SAOUHSC_00925	ABD30050.1	conserved hypothetical protein	1567	1392	1434	7963	11653	3099
SAOUHSC_00926	ABD30051.1	oligopeptide ABC transporter%2C ATP-binding protein%2C putative	1781	1322	1744	8333	12497	3042
SAOUHSC_00927	ABD30052.1	oligopeptide ABC transporter%2C substrate-binding protein%2C putative	7290	4956	6443	22710	30765	6603
SAOUHSC_00928	ABD30053.1	oligopeptide ABC transporter%2C substrate-binding protein%2C putative	607	337	348	461	718	108
SAOUHSC_00929	ABD30054.1	oligopeptide ABC transporter%2C ATP-binding protein%2C putative	290	165	174	194	271	20
SAOUHSC_00930	ABD30055.1	oligopeptide ABC transporter%2C ATP-binding protein%2C putative	395	216	238	310	445	75
SAOUHSC_00931	ABD30056.1	oligopeptide ABC transporter%2C permease protein%2C putative	396	201	265	773	963	52
SAOUHSC_00932	ABD30057.1	oligopeptide ABC transporter%2C permease protein%2C putative	641	388	430	441	561	136
SAOUHSC_00933	ABD30058.1	tryptophanyl-tRNA synthetase	4150	2803	3347	5226	6504	543
SAOUHSC_00934	ABD30059.1	conserved hypothetical protein	377314	306689	283089	203599	252830	36562
SAOUHSC_00935	ABD30060.1	conserved hypothetical protein	34313	29854	19274	31544	39610	3339
SAOUHSC_00936	ABD30061.1	conserved hypothetical protein	307	248	255	90	149	12
SAOUHSC_00937	ABD30062.1	oligoendopeptidase F	1374	910	795	5947	8278	829
SAOUHSC_00938	ABD30063.1	conserved hypothetical protein	3428	2576	2193	3554	4270	467
SAOUHSC_00939	ABD30064.1	conserved hypothetical protein	1395	999	813	2215	2638	196
SAOUHSC_00940	ABD30065.1	conserved hypothetical protein	624	437	341	1342	1010	74
SAOUHSC_00941	ABD30066.1	conserved hypothetical protein	1503	1216	1033	2084	2998	123
SAOUHSC_00942	ABD30067.1	GTP pyrophosphokinase%2C putative	4080	3414	2633	4850	6845	965
SAOUHSC_00943	ABD30068.1	ATP-NAD kinase%2C putative	7014	5785	4552	7203	8067	1558
SAOUHSC_00944	ABD30069.1	conserved hypothetical protein	2336	1714	1651	2455	3416	471
SAOUHSC_00945	ABD30070.1	magnesium transporter	3636	3198	2790	3903	6290	1154
SAOUHSC_00946	ABD30071.1	conserved hypothetical protein	6153	5052	4742	7491	8817	1212
SAOUHSC_00947	ABD30072.1	enoyl-(acyl-carrier-protein) reductase	11155	8697	7362	13964	13800	1617
SAOUHSC_00948	ABD30073.1	conserved hypothetical protein	4052	3313	2962	12196	12179	681
SAOUHSC_00949	ABD30074.1	conserved hypothetical protein	1119	1148	726	17341	19955	2329
SAOUHSC_00950	ABD30075.1	conserved hypothetical protein	846	729	626	2369	2413	257
SAOUHSC_00951	ABD30076.1	conserved hypothetical protein	9987	7090	6452	13990	15292	1083
SAOUHSC_00952	ABD30077.1	conserved hypothetical protein	6782	4457	4537	3499	3109	278
SAOUHSC_00953	ABD30078.1	conserved hypothetical protein	7415	5459	4960	5952	6899	629
SAOUHSC_00954	ABD30079.1	UDP-N-acetylmuramoylalanyl-D-glutamate--2%2C 6-diaminopimelate ligase	5007	4137	3992	4832	6208	1668
SAOUHSC_00955	ABD30080.1	conserved hypothetical protein	920	635	928	753	1432	199
SAOUHSC_00956	ABD30081.1	peptide chain release factor 3	11046	8140	9584	7731	9902	2202
SAOUHSC_00957	ABD30082.1	conserved hypothetical protein	3831	3419	2436	8413	6987	4118
SAOUHSC_00958	ABD30083.1	serine protease HtrA%2C putative	2680	2000	2046	2191	3043	262
SAOUHSC_00959	ABD30084.1	conserved hypothetical protein	7426	5489	6069	4632	5718	545
SAOUHSC_00960	ABD30085.1	conserved hypothetical protein	3012	1987	2077	4383	4807	726
SAOUHSC_T00049	NA	NA	275	213	108	163	11	304
SAOUHSC_T0008	NA	NA	298	237	283	111	46	74
SAOUHSC_00961	ABD30086.1	conserved hypothetical protein	15738	9755	17190	538	557	54
SAOUHSC_00962	ABD30087.1	conserved hypothetical protein	2844	3017	1636	40355	64057	13465
SAOUHSC_00963	ABD30088.1	lipoyltransferase and lipoate-protein ligase%2C putative	1598	1314	1007	2441	3614	268
SAOUHSC_00964	ABD30089.1	conserved hypothetical protein	1832	1604	1295	2169	2364	81
SAOUHSC_00965	ABD30090.1	conserved hypothetical protein	6259	4493	5094	7908	6150	685
SAOUHSC_00966	ABD30091.1	conserved hypothetical protein	2447	2125	1168	2260	806	1533
SAOUHSC_00967	ABD30092.1	hypothetical protein	12	20	16	7	15	1
SAOUHSC_00968	ABD30093.1	conserved hypothetical protein	413	260	309	937	958	121
SAOUHSC_00969	ABD30094.1	conserved hypothetical protein	223	131	203	222	288	26
SAOUHSC_00970	ABD30095.1	ABC transporter%2C ATP-binding protein%2C putative	592	395	432	406	303	49
SAOUHSC_00971	ABD30096.1	conserved hypothetical protein	1001	532	1011	1022	288	43
SAOUHSC_00972	ABD30097.1	conserved hypothetical protein	114	77	83	382	365	21
SAOUHSC_00973	ABD30098.1	conserved hypothetical protein	364	250	337	980	811	76
SAOUHSC_00974	ABD30099.1	glycosyl transferase%2C group 1	2205	1412	1499	1622	1755	90
SAOUHSC_00975	ABD30100.1	conserved hypothetical protein	855	578	568	4140	3576	105
SAOUHSC_00976	ABD30101.1	conserved hypothetical protein	1228	1013	1062	321	292	59
SAOUHSC_00977	ABD30102.1	conserved hypothetical protein	499	489	277	2330	2826	210
SAOUHSC_00978	ABD30103.1	conserved hypothetical protein	87	77	73	160	127	8
SAOUHSC_00979	ABD30104.1	conserved hypothetical protein	438	302	296	653	710	66
